t,dr,cr,pr
1488983958,1.679,2.236523438,48
1488983958,1.315,2.152734375,48
1488983958,1.189,2.259082031,48
1488983958,1.234,2.3203125,48
1488983958,1.418,2.329980469,48
1488983959,1.289,2.44921875,64
1488983959,1.453,2.329980469,64
1488983959,1.544,2.458886719,64
1488983959,1.534,2.442773438,64
1488983959,1.631,2.271972656,64
1488983959,1.495,2.307421875,64
1488983959,1.676,2.475,64
1488983959,1.515,2.4234375,64
1488983959,1.75,2.230078125,64
1488983959,1.544,2.329980469,64
1488983960,1.495,2.371875,64
1488983960,1.547,2.3203125,64
1488983960,1.808,2.358984375,64
1488983960,1.698,2.34609375,64
1488983960,1.702,2.271972656,64
1488983960,1.521,2.455664063,64
1488983960,1.289,2.3203125,64
1488983960,1.505,2.3203125,64
1488983960,1.557,2.44921875,64
1488983960,1.608,2.259082031,64
1488983961,1.392,2.442773438,64
1488983961,1.702,2.278417969,64
1488983961,1.466,2.442773438,64
1488983961,1.586,2.310644531,64
1488983961,1.669,2.323535156,64
1488983961,1.55,2.478222656,64
1488983961,1.547,2.288085938,64
1488983961,1.479,2.44921875,64
1488983961,1.673,2.307421875,64
1488983961,1.566,2.4234375,64
1488983962,1.921,2.339648438,64
1488983962,1.663,2.310644531,64
1488983962,1.521,2.465332031,64
1488983962,1.276,2.297753906,64
1488983962,1.821,2.391210938,64
1488983962,1.753,2.368652344,64
1488983962,1.772,2.297753906,64
1488983962,1.379,2.34609375,64
1488983962,1.392,2.462109375,64
1488983962,1.589,2.297753906,64
1488983963,1.647,2.371875,64
1488983963,1.602,2.484667969,64
1488983963,1.418,2.307421875,64
1488983963,1.557,2.26875,64
1488983963,1.47,2.329980469,64
1488983963,1.702,2.3203125,64
1488983963,1.602,2.426660156,64
1488983963,1.795,2.529785156,64
1488983963,1.553,2.545898438,64
1488983963,1.16,2.362207031,64
1488983964,1.579,2.365429688,64
1488983964,1.395,2.55234375,64
1488983964,1.379,2.513671875,64
1488983964,1.241,2.581347656,64
1488983964,1.383,2.516894531,64
1488983964,1.521,2.574902344,64
1488983964,1.157,2.597460938,64
1488983964,1.586,2.523339844,64
1488983964,1.576,2.436328125,64
1488983964,1.412,2.410546875,64
1488983965,1.254,2.597460938,64
1488983965,1.315,2.410546875,64
1488983965,1.624,2.60390625,64
1488983965,1.128,2.39765625,64
1488983965,1.267,2.581347656,64
1488983965,1.682,2.620019531,64
1488983965,1.463,2.410546875,64
1488983965,1.418,2.513671875,64
1488983965,1.463,2.375097656,64
1488983965,1.598,2.462109375,64
1488983966,1.702,2.468554688,64
1488983966,1.376,2.307421875,64
1488983966,1.392,2.291308594,64
1488983966,1.418,2.271972656,64
1488983966,1.727,2.271972656,64
1488983966,1.408,2.3203125,64
1488983966,1.624,2.329980469,64
1488983966,1.482,2.358984375,64
1488983966,1.495,2.34609375,64
1488983966,1.618,2.413769531,64
1488983967,1.557,2.426660156,64
1488983967,1.669,2.44921875,64
1488983967,1.566,2.465332031,64
1488983967,1.412,2.478222656,64
1488983967,1.431,2.410546875,64
1488983967,1.798,2.475,64
1488983967,1.521,2.362207031,64
1488983967,1.627,2.307421875,64
1488983967,1.379,2.475,64
1488983967,1.463,2.5265625,64
1488983968,1.531,2.358984375,64
1488983968,1.376,2.5265625,64
1488983968,1.344,2.391210938,64
1488983968,1.395,2.555566406,64
1488983968,1.647,2.55234375,64
1488983968,1.376,2.39765625,64
1488983968,1.199,2.407324219,64
1488983968,1.26,2.513671875,64
1488983968,1.318,2.578125,64
1488983968,1.453,2.516894531,64
1488983969,1.37,2.410546875,64
1488983969,1.521,2.391210938,64
1488983969,1.495,2.578125,64
1488983969,1.241,2.4234375,64
1488983969,1.418,2.400878906,64
1488983969,1.511,2.597460938,64
1488983969,1.392,2.4234375,64
1488983969,1.212,2.44921875,64
1488983969,1.373,2.39765625,64
1488983969,1.647,2.4234375,64
1488983970,1.134,2.410546875,64
1488983970,1.315,2.462109375,64
1488983970,1.615,2.478222656,64
1488983970,1.521,2.581347656,64
1488983970,1.302,2.39765625,64
1488983970,1.482,2.504003906,64
1488983970,1.354,2.55234375,64
1488983970,1.431,2.513671875,64
1488983970,1.289,2.475,64
1488983970,1.598,2.462109375,64
1488983971,1.453,2.413769531,64
1488983971,1.218,2.433105469,64
1488983971,1.466,2.55234375,64
1488983971,1.315,2.410546875,64
1488983971,1.363,2.568457031,64
1488983971,1.35,2.529785156,64
1488983971,1.299,2.55234375,64
1488983971,1.315,2.513671875,64
1488983971,1.096,2.6296875,64
1488983971,1.547,2.471777344,64
1488983972,1.424,2.494335938,64
1488983972,1.041,2.465332031,64
1488983972,1.392,2.597460938,64
1488983972,1.431,2.574902344,64
1488983972,1.17,2.458886719,64
1488983972,1.566,2.649023438,64
1488983972,1.315,2.478222656,64
1488983972,1.325,2.494335938,64
1488983972,1.383,2.497558594,64
1488983972,1.279,2.649023438,64
1488983973,1.218,2.442773438,64
1488983973,1.499,2.4234375,64
1488983973,1.647,2.358984375,64
1488983973,1.602,2.34609375,64
1488983973,1.495,2.371875,64
1488983973,2.059,2.3203125,64
1488983973,1.589,2.355761719,64
1488983973,1.898,2.475,64
1488983973,1.47,2.436328125,64
1488983973,1.505,2.39765625,64
1488983974,1.598,2.329980469,64
1488983974,1.782,2.271972656,64
1488983974,1.505,2.339648438,64
1488983974,1.589,2.442773438,64
1488983974,1.608,2.34609375,64
1488983974,1.505,2.24296875,64
1488983974,1.663,2.339648438,64
1488983974,1.624,2.442773438,64
1488983974,1.84,2.34609375,64
1488983974,1.586,2.271972656,64
1488983975,1.55,2.278417969,64
1488983975,1.47,2.329980469,64
1488983975,1.573,2.4234375,64
1488983975,1.592,2.358984375,64
1488983975,1.64,2.3203125,64
1488983975,1.534,2.259082031,64
1488983975,1.669,2.271972656,64
1488983975,1.521,2.310644531,64
1488983975,1.692,2.442773438,64
1488983975,1.608,2.458886719,64
1488983976,1.466,2.4234375,64
1488983976,1.753,2.339648438,64
1488983976,1.602,2.310644531,64
1488983976,1.499,2.259082031,64
1488983976,1.531,2.278417969,64
1488983976,1.934,2.313867188,64
1488983976,1.463,2.3203125,64
1488983976,1.537,2.400878906,64
1488983976,1.608,2.416992188,64
1488983976,1.653,2.375097656,64
1488983977,1.521,2.297753906,64
1488983977,1.637,2.278417969,64
1488983977,1.64,2.44921875,64
1488983977,1.566,2.34609375,64
1488983977,1.47,2.381542969,64
1488983977,1.463,2.34609375,64
1488983977,1.934,2.291308594,64
1488983977,1.737,2.307421875,64
1488983977,1.876,2.458886719,64
1488983977,1.35,2.329980469,64
1488983978,1.363,2.3203125,64
1488983978,1.508,2.413769531,64
1488983978,1.624,2.339648438,64
1488983978,1.412,2.3203125,64
1488983978,1.402,2.339648438,64
1488983978,1.563,2.288085938,64
1488983978,1.379,2.442773438,64
1488983978,1.627,2.458886719,64
1488983978,1.437,2.34609375,64
1488983978,1.537,2.497558594,64
1488983979,1.379,2.307421875,64
1488983979,1.412,2.462109375,64
1488983979,1.653,2.34609375,64
1488983979,1.499,2.465332031,64
1488983979,1.727,2.291308594,64
1488983979,1.392,2.288085938,64
1488983979,1.663,2.278417969,64
1488983979,1.702,2.288085938,64
1488983979,1.911,2.339648438,64
1488983979,1.418,2.410546875,64
1488983980,1.521,2.391210938,64
1488983980,1.35,2.310644531,64
1488983980,1.412,2.265527344,64
1488983980,1.779,2.475,64
1488983980,1.618,2.278417969,64
1488983980,1.557,2.4234375,64
1488983980,1.434,2.497558594,64
1488983980,1.679,2.329980469,64
1488983980,1.598,2.34609375,64
1488983980,1.937,2.39765625,64
1488983981,1.618,2.3203125,64
1488983981,1.676,2.34609375,64
1488983981,1.289,2.307421875,64
1488983981,1.463,2.475,64
1488983981,1.495,2.50078125,64
1488983981,1.547,2.34609375,64
1488983981,1.473,2.4234375,64
1488983981,1.366,2.407324219,64
1488983981,1.682,2.5265625,64
1488983981,1.589,2.381542969,64
1488983982,1.805,2.520117188,64
1488983982,1.515,2.368652344,64
1488983982,1.231,2.5265625,64
1488983982,1.495,2.55234375,64
1488983982,1.66,2.529785156,64
1488983982,1.463,2.484667969,64
1488983982,1.247,2.349316406,64
1488983982,1.598,2.545898438,64
1488983982,1.415,2.371875,64
1488983983,1.331,2.39765625,64
1488983983,1.26,2.410546875,64
1488983983,1.437,2.39765625,64
1488983983,1.779,2.4234375,64
1488983983,1.328,2.381542969,64
1488983983,1.283,2.371875,64
1488983983,1.444,2.562011719,64
1488983983,1.325,2.545898438,64
1488983983,1.463,2.50078125,64
1488983983,1.308,2.465332031,64
1488983984,1.447,2.578125,64
1488983984,1.66,2.381542969,64
1488983984,1.289,2.339648438,64
1488983984,1.569,2.471777344,64
1488983984,1.64,2.400878906,64
1488983984,1.963,2.297753906,64
1488983984,1.499,2.310644531,64
1488983984,1.54,2.291308594,64
1488983984,1.544,2.278417969,64
1488983984,1.547,2.252636719,64
1488983985,1.737,2.26875,64
1488983985,1.566,2.281640625,64
1488983985,1.624,2.262304688,64
1488983985,1.444,2.288085938,64
1488983985,1.666,2.3203125,64
1488983985,1.547,2.288085938,64
1488983985,1.653,2.355761719,64
1488983985,1.573,2.462109375,64
1488983985,1.84,2.436328125,64
1488983985,1.357,2.4234375,64
1488983986,1.466,2.381542969,64
1488983986,1.624,2.34609375,64
1488983986,1.776,2.307421875,64
1488983986,1.573,2.278417969,64
1488983986,1.434,2.278417969,64
1488983986,1.486,2.307421875,64
1488983986,1.315,2.355761719,64
1488983986,1.727,2.381542969,64
1488983986,1.705,2.410546875,64
1488983986,1.598,2.4234375,64
1488983987,1.557,2.462109375,64
1488983987,1.843,2.349316406,64
1488983987,1.237,2.329980469,64
1488983987,1.705,2.313867188,64
1488983987,1.689,2.29453125,64
1488983987,1.75,2.281640625,64
1488983987,1.557,2.278417969,64
1488983987,1.489,2.278417969,64
1488983987,1.305,2.26875,64
1488983987,1.453,2.265527344,64
1488983988,1.805,2.252636719,64
1488983988,1.644,2.288085938,64
1488983988,1.495,2.278417969,64
1488983988,1.566,2.262304688,64
