t,dr,cr,pv
1488984055,1.499,2.400878906,64
1488984056,1.624,2.358984375,64
1488984056,1.795,2.262304688,64
1488984056,1.544,2.291308594,64
1488984056,1.495,2.3203125,64
1488984056,1.615,2.313867188,64
1488984056,1.463,2.34609375,64
1488984056,1.792,2.475,64
1488984056,1.676,2.458886719,64
1488984056,1.763,2.442773438,64
1488984056,1.453,2.442773438,64
1488984057,1.689,2.413769531,64
1488984057,1.402,2.362207031,64
1488984057,1.489,2.34609375,64
1488984057,1.763,2.333203125,64
1488984057,1.895,2.355761719,64
1488984057,1.428,2.323535156,64
1488984057,1.418,2.26875,64
1488984057,1.479,2.281640625,64
1488984057,1.354,2.271972656,64
1488984058,1.908,2.265527344,64
1488984058,1.647,2.259082031,64
1488984058,1.689,2.497558594,72
1488984058,1.66,2.3203125,72
1488984058,1.963,2.44921875,72
1488984058,1.624,2.44921875,72
1488984058,1.979,2.442773438,72
1488984058,1.808,2.3203125,72
1488984058,2.037,2.278417969,72
1488984058,1.821,2.410546875,72
1488984059,2.072,2.475,72
1488984059,1.814,2.265527344,72
1488984059,1.95,2.310644531,72
1488984059,1.695,2.442773438,72
1488984059,1.766,2.307421875,72
1488984059,1.624,2.307421875,72
1488984059,1.673,2.44921875,72
1488984059,1.476,2.307421875,72
1488984059,1.711,2.3203125,72
1488984059,1.669,2.458886719,72
1488984060,1.792,2.307421875,72
1488984060,1.592,2.355761719,72
1488984060,1.557,2.465332031,72
1488984060,1.495,2.288085938,72
1488984060,1.669,2.333203125,72
1488984060,1.453,2.3203125,72
1488984060,1.721,2.291308594,72
1488984060,1.598,2.410546875,72
1488984060,1.995,2.333203125,72
1488984060,1.586,2.259082031,72
1488984061,1.982,2.4234375,72
1488984061,1.673,2.313867188,72
1488984061,1.979,2.375097656,72
1488984061,1.608,2.3203125,72
1488984061,1.834,2.307421875,72
1488984061,1.789,2.358984375,72
1488984061,1.634,2.271972656,72
1488984061,1.727,2.442773438,72
1488984061,1.624,2.278417969,72
1488984061,1.779,2.410546875,72
1488984062,1.737,2.3203125,72
1488984062,1.84,2.34609375,72
1488984062,1.669,2.458886719,72
1488984062,1.727,2.291308594,72
1488984062,1.621,2.381542969,72
1488984062,1.557,2.34609375,72
1488984062,1.644,2.26875,72
1488984062,1.499,2.4234375,72
1488984062,1.908,2.462109375,72
1488984062,1.55,2.278417969,72
1488984063,1.83,2.371875,72
1488984063,1.598,2.433105469,72
1488984063,2.03,2.484667969,80
1488984063,1.859,2.307421875,80
1488984063,1.959,2.278417969,80
1488984063,1.727,2.436328125,80
1488984063,1.637,2.339648438,80
1488984063,2.059,2.288085938,80
1488984063,1.934,2.288085938,80
1488984063,1.785,2.333203125,80
1488984064,1.566,2.458886719,80
1488984064,1.985,2.436328125,80
1488984064,1.795,2.3203125,80
1488984064,1.995,2.265527344,80
1488984064,1.669,2.307421875,80
1488984064,1.711,2.355761719,80
1488984064,1.963,2.44921875,80
1488984064,2.004,2.39765625,80
1488984064,1.814,2.3203125,80
1488984064,1.624,2.265527344,80
1488984065,2.053,2.307421875,80
1488984065,1.808,2.410546875,80
1488984065,1.837,2.4234375,80
1488984065,1.631,2.34609375,80
1488984065,1.963,2.26875,80
1488984065,1.695,2.307421875,80
1488984065,1.998,2.475,80
1488984065,1.727,2.4234375,80
1488984065,1.702,2.34609375,80
1488984065,1.83,2.288085938,80
1488984066,1.85,2.307421875,80
1488984066,1.927,2.410546875,80
1488984066,1.702,2.44921875,80
1488984066,2.246,2.381542969,80
1488984066,1.818,2.288085938,80
1488984066,1.879,2.278417969,80
1488984066,1.866,2.3203125,80
1488984066,2.066,2.329980469,80
1488984066,1.763,2.462109375,80
1488984066,1.946,2.381542969,80
1488984067,2.072,2.323535156,80
1488984067,1.934,2.288085938,80
1488984067,1.853,2.307421875,80
1488984067,1.763,2.362207031,80
1488984067,2.03,2.44921875,80
1488984067,1.866,2.39765625,80
1488984067,2.104,2.307421875,80
1488984067,1.557,2.271972656,80
1488984067,1.74,2.307421875,80
1488984067,1.959,2.333203125,80
1488984068,1.985,2.349316406,80
1488984068,1.689,2.391210938,80
1488984068,1.856,2.362207031,88
1488984068,1.979,2.368652344,88
1488984068,1.66,2.307421875,88
1488984068,2.101,2.304199219,88
1488984068,1.934,2.329980469,88
1488984068,2.288,2.39765625,88
1488984068,2.217,2.471777344,88
1488984068,2.085,2.3203125,88
1488984069,2.204,2.255859375,88
1488984069,1.885,2.433105469,88
1488984069,2.072,2.426660156,88
1488984069,1.805,2.307421875,88
1488984069,1.779,2.278417969,88
1488984069,1.895,2.4234375,88
1488984069,1.792,2.333203125,88
1488984069,2.111,2.255859375,88
1488984069,1.879,2.426660156,88
1488984069,2.217,2.339648438,88
1488984070,2.14,2.329980469,88
1488984070,2.011,2.458886719,88
1488984070,2.188,2.291308594,88
1488984070,1.83,2.355761719,88
1488984070,1.943,2.458886719,88
1488984070,1.634,2.291308594,88
1488984070,1.756,2.323535156,88
1488984070,1.911,2.433105469,88
1488984070,1.83,2.204296875,88
1488984070,2.175,2.26875,88
1488984071,2.03,2.4234375,88
1488984071,2.288,2.288085938,88
1488984071,2.243,2.391210938,88
1488984071,2.088,2.34609375,88
1488984071,2.037,2.26875,88
1488984071,1.866,2.433105469,88
1488984071,1.934,2.358984375,88
1488984071,1.789,2.29453125,88
1488984071,1.763,2.3203125,88
1488984071,1.901,2.44921875,88
1488984072,1.776,2.34609375,88
1488984072,2.14,2.291308594,88
1488984072,1.895,2.339648438,88
1488984072,2.169,2.462109375,88
1488984072,2.056,2.323535156,88
1488984072,1.985,2.278417969,88
1488984072,2.291,2.381542969,88
1488984072,1.818,2.458886719,88
1488984072,1.998,2.307421875,88
1488984072,1.792,2.358984375,88
1488984073,1.847,2.458886719,88
1488984073,1.998,2.26875,88
1488984073,1.756,2.368652344,96
1488984073,2.056,2.391210938,96
1488984073,1.876,2.475,96
1488984073,2.259,2.310644531,96
1488984073,2.32,2.271972656,96
1488984073,2.05,2.333203125,96
1488984073,2.217,2.736035156,96
1488984073,2.062,2.458886719,96
1488984074,2.188,2.4234375,96
1488984074,2.133,2.368652344,96
1488984074,1.959,2.307421875,96
1488984074,2.288,2.278417969,96
1488984074,2.375,2.278417969,96
1488984074,2.03,2.271972656,96
1488984074,2.114,2.288085938,96
1488984074,2.021,2.3203125,96
1488984074,2.046,2.391210938,96
1488984074,2.117,2.4234375,96
1488984075,1.879,2.44921875,96
1488984075,2.243,2.478222656,96
1488984075,2.459,2.471777344,96
1488984075,1.895,2.3203125,96
1488984075,2.407,2.278417969,96
1488984075,2.124,2.355761719,96
1488984075,1.934,2.458886719,96
1488984075,2.262,2.329980469,96
1488984075,1.818,2.278417969,96
1488984075,1.985,2.400878906,96
1488984076,2.124,2.475,96
1488984076,1.772,2.297753906,96
1488984076,2.311,2.291308594,96
1488984076,2.372,2.323535156,96
1488984076,1.869,2.442773438,96
1488984076,2.546,2.358984375,96
1488984076,2.204,2.307421875,96
1488984076,1.869,2.278417969,96
1488984076,2.062,2.278417969,96
1488984076,2.014,2.313867188,96
1488984077,2.037,2.394433594,96
1488984077,2.262,2.465332031,96
1488984077,2.124,2.484667969,96
1488984077,2.307,2.3203125,96
1488984077,2.153,2.259082031,96
1488984077,2.011,2.355761719,96
1488984077,2.498,2.44921875,96
1488984077,2.114,2.368652344,96
1488984077,2.085,2.3203125,96
1488984077,2.14,2.255859375,96
1488984078,2.014,2.355761719,96
1488984078,2.03,2.513671875,104
1488984078,2.117,2.34609375,104
1488984078,2.253,2.442773438,104
1488984078,2.362,2.478222656,104
1488984078,2.056,2.288085938,104
1488984078,2.262,2.323535156,104
1488984078,2.494,2.44921875,104
1488984078,2.001,2.371875,104
1488984078,2.307,2.259082031,104
1488984079,2.597,2.291308594,104
1488984079,2.133,2.323535156,104
1488984079,2.33,2.3203125,104
1488984079,2.704,2.458886719,104
1488984079,2.191,2.462109375,104
1488984079,2.243,2.394433594,104
1488984079,2.704,2.371875,104
1488984079,2.365,2.3203125,104
1488984079,2.03,2.26875,104
1488984080,2.63,2.271972656,104
1488984080,2.552,2.271972656,104
1488984080,1.959,2.329980469,104
1488984080,2.346,2.355761719,104
1488984080,2.494,2.458886719,104
1488984080,1.969,2.381542969,104
1488984080,2.32,2.3203125,104
1488984080,2.398,2.24296875,104
1488984080,1.85,2.291308594,104
1488984080,2.185,2.307421875,104
1488984081,2.288,2.307421875,104
1488984081,1.979,2.365429688,104
1488984081,2.324,2.420214844,104
1488984081,2.101,2.494335938,104
1488984081,2.05,2.462109375,104
1488984081,2.562,2.4234375,104
1488984081,2.14,2.400878906,104
1488984081,2.15,2.400878906,104
1488984081,2.556,2.3203125,104
1488984081,2.15,2.355761719,104
1488984082,2.278,2.313867188,104
1488984082,2.498,2.307421875,104
1488984082,2.398,2.271972656,104
1488984082,2.082,2.278417969,104
1488984082,2.311,2.307421875,104
1488984082,2.588,2.3203125,104
1488984082,1.95,2.339648438,104
1488984082,2.191,2.323535156,104
1488984082,2.443,2.355761719,104
1488984082,1.898,2.368652344,104
1488984083,2.204,2.475,104
1488984083,2.217,2.44921875,104
1488984083,1.885,2.55234375,112
1488984083,2.742,2.433105469,112
1488984083,2.514,2.307421875,112
1488984083,2.288,2.278417969,112
1488984083,2.572,2.381542969,112
1488984083,2.475,2.3203125,112
1488984083,2.365,2.426660156,112
1488984083,2.037,2.246191406,112
1488984084,2.485,2.329980469,112
1488984084,2.243,2.416992188,112
1488984084,2.092,2.255859375,112
1488984084,2.462,2.329980469,112
1488984084,2.862,2.458886719,112
1488984084,2.459,2.317089844,112
1488984084,2.462,2.291308594,112
1488984084,2.485,2.44921875,112
1488984084,2.485,2.371875,112
1488984084,2.24,2.278417969,112
1488984085,2.423,2.416992188,112
1488984085,2.588,2.433105469,112
1488984085,2.159,2.271972656,112
1488984085,2.185,2.362207031,112
1488984085,2.469,2.39765625,112
1488984085,2.253,2.278417969,112
1488984085,2.391,2.452441406,112
1488984085,2.565,2.365429688,112
1488984085,2.63,2.265527344,112
1488984085,2.546,2.34609375,112
1488984086,2.253,2.458886719,112
1488984086,2.72,2.358984375,112
1488984086,2.32,2.278417969,112
1488984086,2.011,2.288085938,112
1488984086,2.324,2.371875,112
1488984086,2.672,2.484667969,112
1488984086,2.021,2.413769531,112
1488984086,2.427,2.26875,112
1488984086,2.372,2.323535156,112
1488984086,2.552,2.452441406,112
1488984087,2.443,2.355761719,112
1488984087,2.807,2.262304688,112
1488984087,2.398,2.3203125,112
1488984087,2.201,2.478222656,112
1488984087,2.217,2.371875,112
1488984087,2.807,2.26875,112
1488984087,2.127,2.333203125,112
1488984087,2.14,2.4234375,112
1488984087,2.32,2.278417969,112
1488984087,2.807,2.310644531,112
1488984088,2.204,2.475,112
1488984088,2.665,2.329980469,112
1488984088,2.356,2.407324219,120
1488984088,2.185,2.394433594,120
1488984088,2.523,2.349316406,120
1488984088,2.552,2.323535156,120
1488984088,2.771,2.368652344,120
1488984088,2.433,2.44921875,120
1488984088,2.494,2.465332031,120
1488984088,2.411,2.475,120
1488984089,2.836,2.433105469,120
1488984089,2.504,2.465332031,120
1488984089,2.588,2.368652344,120
1488984089,2.459,2.358984375,120
1488984089,2.649,2.355761719,120
1488984089,2.578,2.339648438,120
1488984089,2.552,2.34609375,120
1488984089,2.22,2.34609375,120
1488984089,2.649,2.323535156,120
1488984089,2.617,2.339648438,120
1488984090,2.501,2.307421875,120
1488984090,2.282,2.291308594,120
1488984090,2.536,2.288085938,120
1488984090,2.581,2.26875,120
1488984090,2.485,2.259082031,120
1488984090,2.449,2.271972656,120
1488984090,2.562,2.3203125,120
1488984090,2.704,2.400878906,120
1488984090,2.427,2.462109375,120
1488984090,2.204,2.494335938,120
1488984091,2.523,0.203027344,120
1488984091,3.297,2.3203125,120
1488984091,2.372,2.29453125,120
1488984091,2.475,2.255859375,120
1488984091,2.63,2.355761719,120
1488984091,2.63,2.4234375,120
1488984091,2.514,2.484667969,120
1488984091,2.346,2.355761719,120
1488984091,2.514,2.307421875,120
1488984091,2.617,2.278417969,120
1488984092,2.372,2.329980469,120
1488984092,2.465,2.407324219,120
1488984092,2.72,2.468554688,120
1488984092,2.63,2.426660156,120
1488984092,2.546,2.307421875,120
1488984092,2.356,2.307421875,120
1488984092,2.572,2.3203125,120
1488984092,2.681,2.413769531,120
1488984092,2.436,2.394433594,120
1488984092,2.291,2.34609375,120
1488984093,2.823,2.262304688,120
1488984093,2.601,2.323535156,120
1488984093,2.597,2.297753906,128
1488984093,2.933,2.442773438,128
1488984093,2.723,2.323535156,128
1488984093,2.655,2.371875,128
1488984093,2.597,2.3203125,128
1488984093,2.346,2.313867188,128
1488984093,2.668,2.475,128
1488984093,2.572,2.310644531,128
1488984094,2.462,2.410546875,128
1488984094,2.691,2.358984375,128
1488984094,2.53,2.278417969,128
1488984094,2.607,2.416992188,128
1488984094,2.81,2.329980469,128
1488984094,2.333,2.323535156,128
1488984094,2.63,2.34609375,128
1488984094,2.649,2.329980469,128
1488984094,2.684,1.144042969,128
1488984094,2.771,2.365429688,128
1488984095,2.346,2.278417969,128
1488984095,2.742,2.462109375,128
1488984095,2.875,2.271972656,128
1488984095,2.794,2.475,128
1488984095,2.871,2.26875,128
1488984095,2.324,2.44921875,128
1488984095,2.701,2.307421875,128
1488984095,2.862,2.34609375,128
1488984095,2.829,2.391210938,128
1488984095,2.665,2.323535156,128
1488984096,2.423,2.407324219,128
1488984096,2.836,2.288085938,128
1488984096,3.078,2.442773438,128
1488984096,3.029,2.291308594,128
1488984096,2.639,2.410546875,128
1488984096,2.382,2.304199219,128
1488984096,2.855,2.4234375,128
1488984096,3.081,2.304199219,128
1488984096,2.939,2.410546875,128
1488984096,2.32,2.29453125,128
1488984097,2.562,2.462109375,128
1488984097,3.01,2.265527344,128
1488984097,3.236,2.365429688,128
1488984097,2.994,2.4234375,128
1488984097,2.278,2.307421875,128
1488984097,2.684,2.487890625,128
1488984097,2.926,2.333203125,128
1488984097,3.297,2.34609375,128
1488984097,2.826,2.4234375,128
1488984097,2.185,2.288085938,128
1488984098,2.907,2.494335938,128
1488984098,3.068,2.323535156,128
