t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T
1491868110.176148, 0.854, 0.790, 1.540, 1.534, 0, 0.854, 0.790, 0.000 
1491868110.277320, 0.857, 0.790, 1.540, 1.534, 0, 0.857, 0.790, 0.000 
1491868110.377866, 0.751, 0.790, 1.534, 1.553, 0, 0.751, 0.790, 0.000 
1491868110.478330, 0.103, 0.786, 1.511, 1.534, 0, 0.103, 0.786, 0.000 
1491868110.579000, 0.686, 0.790, 1.511, 1.534, 0, 0.686, 0.790, 0.000 
1491868110.679631, 0.648, 0.802, 1.560, 1.550, 0, 0.648, 0.802, 0.000 
1491868110.780046, 0.645, 0.799, 1.547, 1.553, 0, 0.645, 0.799, 0.000 
1491868110.880450, 0.683, 0.812, 1.550, 1.553, 0, 0.683, 0.812, 0.000 
1491868110.980850, 0.016, 0.819, 1.563, 1.579, 0, 0.016, 0.819, 0.000 
1491868111.081258, 0.657, 0.822, 1.573, 1.592, 0, 0.657, 0.822, 0.000 
1491868111.181663, 0.084, 0.822, 1.576, 1.602, 0, 0.084, 0.822, 0.000 
1491868111.282064, 0.699, 0.819, 1.553, 1.573, 0, 0.699, 0.819, 0.000 
1491868111.382466, 0.029, 0.812, 1.576, 1.573, 0, 0.029, 0.812, 0.000 
1491868111.482887, 0.354, 1.795, 2.601, 2.588, 0, 0.354, 1.795, 0.000 
1491868111.583599, 0.139, 1.805, 2.633, 2.604, 0, 0.139, 1.805, 0.000 
1491868111.684320, 0.422, 1.805, 2.604, 2.597, 0, 0.422, 1.805, 0.000 
1491868111.785011, 0.171, 1.805, 2.630, 2.604, 0, 0.171, 1.805, 0.000 
1491868111.885795, 0.093, 1.792, 2.597, 2.617, 0, 0.093, 1.792, 0.000 
1491868111.986494, 0.570, 1.805, 2.617, 2.633, 0, 0.570, 1.805, 0.000 
1491868112.087199, 0.090, 1.805, 2.617, 2.649, 0, 0.090, 1.805, 0.000 
1491868112.187916, 0.042, 1.795, 2.565, 2.597, 0, 0.042, 1.795, 0.000 
1491868112.288607, 0.390, 1.798, 2.601, 2.617, 0, 0.390, 1.798, 0.000 
1491868112.389303, 0.242, 1.792, 2.565, 2.575, 0, 0.242, 1.792, 0.000 
1491868112.490088, 0.042, 1.805, 2.604, 2.607, 0, 0.042, 1.805, 0.000 
1491868112.590811, 0.686, 1.805, 2.649, 2.630, 0, 0.686, 1.805, 0.000 
1491868112.691519, 0.058, 1.792, 2.591, 2.630, 0, 0.058, 1.792, 0.000 
1491868112.792212, 0.184, 1.805, 2.591, 2.617, 0, 0.184, 1.805, 0.000 
1491868112.892906, 0.284, 1.795, 2.591, 2.620, 0, 0.284, 1.795, 0.000 
1491868112.993594, 0.042, 1.805, 2.617, 2.588, 0, 0.042, 1.805, 0.000 
1491868113.094291, 0.474, 1.792, 2.578, 2.581, 0, 0.474, 1.792, 0.000 
1491868113.194981, 0.139, 1.805, 2.601, 2.630, 0, 0.139, 1.805, 0.000 
1491868113.295723, 0.226, 1.805, 2.630, 2.617, 0, 0.226, 1.805, 0.000 
1491868113.396454, 0.567, 1.795, 2.588, 2.575, 0, 0.567, 1.795, 0.000 
1491868113.497144, 0.116, 1.805, 2.630, 2.617, 0, 0.116, 1.805, 0.000 
1491868113.597842, 0.158, 1.795, 2.630, 2.607, 0, 0.158, 1.795, 0.000 
1491868113.698546, 0.110, 1.795, 2.597, 2.591, 0, 0.110, 1.795, 0.000 
1491868113.799244, 0.258, 1.805, 2.639, 2.630, 0, 0.258, 1.805, 0.000 
1491868113.899941, 0.209, 1.795, 2.575, 2.604, 0, 0.209, 1.795, 0.000 
1491868114.000631, 0.587, 1.805, 2.630, 2.617, 0, 0.587, 1.805, 0.000 
1491868114.101332, 0.042, 1.805, 2.630, 2.620, 0, 0.042, 1.805, 0.000 
1491868114.202025, 0.583, 1.795, 2.617, 2.597, 0, 0.583, 1.795, 0.000 
1491868114.302714, 0.052, 1.805, 2.655, 2.614, 0, 0.052, 1.805, 0.000 
1491868114.403408, 0.290, 1.795, 2.620, 2.588, 0, 0.290, 1.795, 0.000 
1491868114.504094, 0.429, 1.805, 2.597, 2.630, 0, 0.429, 1.805, 0.000 
1491868114.604834, 0.035, 1.792, 2.562, 2.617, 0, 0.035, 1.792, 0.000 
1491868114.705531, 0.670, 1.805, 2.617, 2.617, 0, 0.670, 1.805, 0.000 
1491868114.806229, 0.122, 1.805, 2.607, 2.614, 0, 0.122, 1.805, 0.000 
1491868114.906924, 0.068, 1.795, 2.601, 2.565, 0, 0.068, 1.795, 0.000 
1491868115.007617, 0.274, 1.808, 2.614, 2.655, 0, 0.274, 1.808, 0.000 
1491868115.108321, 0.035, 1.805, 2.597, 2.607, 0, 0.035, 1.805, 0.000 
1491868115.209089, 0.780, 1.792, 2.591, 2.578, 0, 0.780, 1.792, 0.000 
1491868115.309857, 0.042, 1.805, 2.655, 2.649, 0, 0.042, 1.805, 0.000 
1491868115.410620, 0.622, 1.792, 2.633, 2.652, 0, 0.622, 1.792, 0.000 
1491868115.511382, 0.342, 1.805, 2.617, 2.630, 0, 0.342, 1.805, 0.000 
1491868115.612166, 0.042, 1.805, 2.659, 2.614, 0, 0.042, 1.805, 0.000 
1491868115.712934, 0.445, 1.795, 2.588, 2.565, 0, 0.445, 1.795, 0.000 
1491868115.813696, 0.052, 1.805, 2.617, 2.639, 0, 0.052, 1.805, 0.000 
1491868115.914468, 0.425, 1.792, 2.581, 2.617, 0, 0.425, 1.792, 0.000 
1491868116.015364, 0.213, 1.808, 2.578, 2.630, 0, 0.213, 1.808, 0.000 
1491868116.116210, 0.042, 1.798, 2.607, 2.617, 0, 0.042, 1.798, 0.000 
1491868116.216976, 0.645, 1.795, 2.568, 2.607, 0, 0.645, 1.795, 0.000 
1491868116.317734, 0.135, 1.792, 2.588, 2.607, 0, 0.135, 1.792, 0.000 
1491868116.418502, 0.306, 1.805, 2.604, 2.617, 0, 0.306, 1.805, 0.000 
1491868116.519269, 0.052, 1.798, 2.601, 2.597, 0, 0.052, 1.798, 0.000 
1491868116.620047, 0.464, 1.789, 2.568, 2.601, 0, 0.464, 1.789, 0.000 
1491868116.720805, 0.084, 1.805, 2.588, 2.604, 0, 0.084, 1.805, 0.000 
1491868116.821565, 0.367, 1.795, 2.588, 2.604, 0, 0.367, 1.795, 0.000 
1491868116.922325, 0.277, 1.805, 2.649, 2.614, 0, 0.277, 1.805, 0.000 
1491868117.023090, 0.035, 1.789, 2.597, 2.591, 0, 0.035, 1.789, 0.000 
1491868117.123863, 0.261, 1.805, 2.614, 2.630, 0, 0.261, 1.805, 0.000 
1491868117.224626, 0.161, 1.795, 2.588, 2.614, 0, 0.161, 1.795, 0.000 
1491868117.325420, 0.567, 1.789, 2.607, 2.610, 0, 0.567, 1.789, 0.000 
1491868117.426244, 0.110, 1.805, 2.649, 2.655, 0, 0.110, 1.805, 0.000 
1491868117.527013, 0.238, 1.792, 2.578, 2.604, 0, 0.238, 1.792, 0.000 
1491868117.627788, 0.393, 1.792, 2.630, 2.594, 0, 0.393, 1.792, 0.000 
1491868117.728555, 0.032, 1.792, 2.581, 2.620, 0, 0.032, 1.792, 0.000 
1491868117.829356, 0.632, 1.805, 2.597, 2.591, 0, 0.632, 1.805, 0.000 
1491868117.930119, 0.106, 1.792, 2.588, 2.630, 0, 0.106, 1.792, 0.000 
1491868118.030888, 0.055, 1.805, 2.633, 2.620, 0, 0.055, 1.805, 0.000 
1491868118.131660, 0.119, 1.795, 2.630, 2.604, 0, 0.119, 1.795, 0.000 
1491868118.232430, 0.364, 1.792, 2.607, 2.601, 0, 0.364, 1.792, 0.000 
1491868118.333222, 0.354, 1.808, 2.588, 2.601, 0, 0.354, 1.808, 0.000 
1491868118.433978, 0.035, 1.795, 2.575, 2.594, 0, 0.035, 1.795, 0.000 
1491868118.534741, 0.587, 1.795, 2.581, 2.649, 0, 0.587, 1.795, 0.000 
1491868118.635515, 0.052, 1.808, 2.620, 2.617, 0, 0.052, 1.808, 0.000 
